code,name,number
EPSAS,Empresa Pública Social de Agua y Saneamiento,-
SAGUAPAC,Cooperativa de Servicios Públicos Santa Cruz R.L.,250/2010
COSMOL,Cooperativa de Servicios Públicos Montero R.L.,260/2010
ELAPAS,Empresa Local de Agua Potable y Alcantarillado Sucre,247/2010
SEMAPA,Servicio de Agua Potable y Alcantarillado de Cochabamba,269/2010
SeLA,Servicio Local de Acueductos y Alcantarillado Oruro,249/2010
COATRI,Cooperativa de Servicios de Agua Potable y Alcantarillado Trinidad Ltda.,268/2010
CAPAG,Cooperativa de Agua Potable y Alcantarillado Guayaramerin R.L.,270/2010
AAPOS,Administración Autónoma para Obras Sanitarias,246/2010
COSAALT,Cooperativa de Servicios de Agua y Alcantarillado Tarija Ltda.,251/2010
EMAPYC,Empresa Municipal de Agua Potable y Alcantarillado Sanitario Yacuiba,259/2010
COSPHUL,Cooperativa de Servicios Públicos Humberto Leigue Ltda.,262/2010
COSCHAL,Cooperativa de Servicios Públicos Villa Los Chacos Ltda.,192/2011
COOPAGUAS,Cooperativa de Servicios Públicos 1ro de Mayo Ltda.,254/2010
COSPAIL,Cooperativa de Servicios Públicos Andrés Ibáñez R.L.,257/2010
COOPLAN,Cooperativa de Servicios Públicos de Agua Potable y Alcantarillado Plan Tres Mil Ltda.,252/2010
EMAAB,Empresa Municipal de Agua Potable y Alcantarillado Sanitario Bermejo,272/2010
LA GUARDIA,Cooperativa de Servicios Públicos La Guardia Ltda.,253/2010
COOPAPPI,Cooperativa de Servicios Públicos Pampa de La Isla Ltda.,273/2010
COSMIN,Cooperativa de Servicios Públicos Minero Ltda.,263/2010
EMSABAV,Empresa Municipal de Saneamiento Básico Villazón,271/2010
COSPAS,Cooperativa de Servicios Públicos Ascensión de Guarayos Ltda.,274/2010
SEAPAS,"Cooperativa de Servicios Públicos de Agua Potable y Alcantarillado ""El Torno Santa Rita"" R.L.",267/2010
COSAP,Cooperativa de Servicios de Agua Potable COTOCA Ltda.,264/2010
COOPLIM,Cooperativa de Servicios Públicos Limoncito Puerto Rico R.L.,261/2010
MANCHACO SOCIAL,Entidad Prestadora de Servicios de Agua Potable y Alcantarillado Sanitario de la Mancomunidad del Chaco,113/2009
COSEPW,Cooperativa de Servicios Públicos Warnes R.L.,258/2010
COOPAGUAB,Cooperativa de Servicios Públicos Buena Vista Ltda.,596/2008
COSERCA,Cooperativa de Servicios  Camargo Ltda.,319/2008
COSPUGEBUL,Cooperativa de Servicios Públicos Germán Busch Ltda.,140/2008
EMAPAS,Empresa Municipal de Agua Potable y Alcantarillado Sacaba,156/2008
COOSPELCAR,Cooperativa de Servicios Públicos El Carmen Ltda.,138/2008
COSAJU,Cooperativa de Servicios de Agua Potable San Julián R.L.,137/2008
EPSA COBIJA,Empresa Pública Municipal de Servicios de Agua Potable y Alcantarillado Sanitario Cobija,049/2009
6 DE OCTUBRE,Cooperativa de Servicios Públicos 6 de Octubre Ltda.,135/2008
COOSIV,Cooperativa de Servicios Públicos San Ignacio de Velasco Ltda.,017/2012
EMAPAV,Empresa Municipal de Agua Potable y Alcantarillado Viacha,302/2008
COSAPAC,Cooperativa de Servicios de Agua Potable y Alcantarillado Caranavi Ltda.,605/2008
SAMAPAR,Servicio Autónomo Municipal de Agua Potable y Alcantarillado Rurrenabaque,703/2011
CAPU,Cooperativa de Agua Potable Uyuni R.L.,422/2008
EMPSAAT,Empresa Municipal Prestadora de Servicios de Agua Potable y Alcantarillado Sanitario Tupiza,493/2008
COAPASB,Cooperativa de Agua Potable y Alcantarillado Sanitario San Borja Ltda.,702/2011
LA PORTEÑA,Cooperativa de Servicios Públicos La Porteña Ltda.,72/2009
SAJUBA,Cooperativa de Servicios de Agua Potable y Alcantarillado San Juan Bautista Ltda.,112/2009
EPSA BUSTILLO,Entidad Prestadora de Servicio de Agua Potable y Alcantarillado Sanitario Bustillo Mancomunitaria Social,005/2008
EMAPA,Empresa Municipal de Agua Potable y Alcantarillado EMAPA,579/2008
SEMAPAR,Servicio Municipal de Agua Potable y Alcantarillado Sanitario de Riberalta,704/2011
FLORIDA,Cooperativa de Servicios Públicos Florida Ltda.,409/2013
COSFAL,Cooperativa de Servicios Públicos Nuestra Señora de Fátima Ltda.,600/2008
COSPOL,Cooperativa de Servicios Públicos Portachuelo Ltda.,142/2008
COSEPFA,Cooperativa de Servicios Públicos Fernandez Alonso Ltda.,132/2008
COMAYO,Cooperativa de Servicios Públicos 1º de Mayo Ltda.,575/2008
COSSAJA,Cooperativa de Servicios Públicos San Javier Ltda.,016/2012
COSMON,Cooperativa de Servicios Públicos Montes Claros Ltda.,194/2011
COSIMBO,Cooperativa de Servicios Públicos Libertador Simón Bolívar Ltda.,656/2008
COSAPSI,Cooperativa de Servicios de Agua Potable y Alcantarillado COSAPSI Ltda.,623/2008
COAPAS VINTO,Cooperativa de Agua Potable y Alcantarillado Sanitario Vinto Ltda.,054/2009
CAPSCH,Cooperativa de Agua Potable y Servicios Chimoré Ltda.,1003/2011
COOAPASH,Cooperativa de Agua Potable y Alcantarillado Servicios Shinahota Ltda.,1004/2011
COSEPP,Cooperativa de Servicios Públicos Padilla Ltda.,450/2008
AGUAySES,Cooperativa de Servicios Públicos de Agua Potable y de Alcantarillado R.L.,888/2011
CAPCHI,Cooperativa de Agua Potable Independencia Ltda.,139/2008
COSEPCO,Cooperativa de Servicios Públicos Concepción Ltda.,018/2012
SMAPA,Servicio Municipal de Agua Potable y Alcantarillado,587/2008
COSEPUR,Cooperativa de Servicios Públicos Roboré Ltda.,588/2008
ASOAPAL,Asociación de Servicio de Agua Potable y Alcantarillado Sanitario de Tiraque,607/2013
JASAP,Junta Administradora del Sistema de Alcantarillado y Agua Potable Villa Tunari,265/2012
COLOMI,Servicio de Agua Potable y Alcantarillado Sanitario Colomi,336/2013
COOSAJO,Cooperativa de Servicios Públicos San José Santa Martha Ltda,654/2008
COOPSAJ,Cooperativa de Servicios Públicos San Juan Ltda,129/2008
